Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
ус,473,0.002051455535893966,0.018317726297853294,,
ау,152,0.000659241525276708,0.0069661427407699756,,
вж,19,8.24051906595885e-05,0.0011179834145750125,,
ья,167,0.0007242982547448041,0.0075552481534698485,,
ме,868,0.0037646160785538324,0.030317513172727708,,
йк,173,0.0007503209465320426,0.0077884848996794855,,
рт,279,0.001210055168106589,0.01172629548622966,,
ир,407,0.001765205926234343,0.016144481237717532,,
сч,121,0.0005247909510426426,0.005718106215189404,,
ми,913,0.00395978626695812,0.03160052675618938,,
ех,142,0.0006158703722979772,0.006568310272013149,,
рк,134,0.0005811734499149926,0.006246884390122585,,
вя,81,0.00035130633912771936,0.00403123418852584,,
ца,175,0.0007589951771277887,0.00786593885840972,,
ле,1308,0.005672946809617987,0.04232974749030002,,
ыш,153,0.0006635786405745811,0.007005694954799927,,
яб,101,0.00043804864508518093,0.0048871428399253885,,
оэ,101,0.00043804864508518093,0.0048871428399253885,,
йж,25,0.00010842788244682697,0.0014281011006767716,,
щи,261,0.0011319870927448735,0.011078674788567592,,
вг,106,0.00045973422157454636,0.005097033004385653,,
хк,66,0.0002862496096596232,0.0033692834701298377,,
лк,268,0.0011623468998299851,0.011331421880415185,,
чу,127,0.000550813642829881,0.0059631900651955245,,
йн,256,0.0011103015162555081,0.010897423709665479,,
нг,45,0.00019517018840428855,0.0024050782651996055,,
еу,188,0.0008153776760001388,0.008365973843769229,,
йс,318,0.001379202664723639,0.013105114508675297,,
ою,114,0.0004944311439575309,0.005429814521131194,,
аю,221,0.0009585024808299504,0.009610837484860647,,
еи,363,0.0015743728531279276,0.01465899671120707,,
нб,40,0.00017348461191492315,0.002167326719773956,,
ки,820,0.0035564345442559244,0.028932849277750694,,
ьг,67,0.0002905867249574963,0.0034140289200187885,,
би,174,0.0007546580618299157,0.007827229859415802,,
яп,278,0.0012057180528087159,0.011690511661111689,,
оп,900,0.003903403768085771,0.03123133489301302,,
ян,446,0.001934353422851393,0.01743613190641065,,
рд,87,0.00037732903091495785,0.004290943960622859,,
ыс,284,0.0012317407445959544,0.011904879799430343,,
ам,1088,0.0047187814440859096,0.03646376984556733,,
шл,97,0.0004207001838936886,0.0047181188772495025,,
йд,107,0.00046407133687241943,0.005138831664268138,,
км,50,0.00021685576489365393,0.002639346436459889,,
см,182,0.0007893549842129003,0.008135911922605765,,
яв,427,0.0018519482321918046,0.01680965354783247,,
ач,356,0.001544013046042816,0.014419691222402728,,
уз,105,0.00045539710627667324,0.005055175314054591,,
зу,122,0.0005291280663405156,0.005759080371622916,,
бу,285,0.0012360778598938275,0.011940530252366088,,
дь,166,0.0007199611394469311,0.007516245509853079,,
еж,234,0.0010148849797023004,0.0100924912585504,,
яж,66,0.0002862496096596232,0.0033692834701298377,,
