Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
ьб,8,2.919335121426095e-05,0.0004397686614254798,,
аф,53,0.0001934059517944788,0.002385871330009381,,
жк,38,0.00013866841826773953,0.0017771845891012745,,
сб,21,7.663254693743499e-05,0.0010476959059889826,,
вк,55,0.00020070428959804404,0.0024651787218805876,,
ыс,158,0.0005765686864816538,0.006204005850271726,,
яч,42,0.00015326509387486999,0.0019421267181030952,,
жд,213,0.0007772729760796978,0.008028678773067288,,
хш,11,4.014085791960881e-05,0.0005862399301325391,,
аш,215,0.0007845713138832631,0.008093486873236253,,
ке,240,0.0008758005364278285,0.008895602426937788,,
бг,5,1.8245844508913096e-05,0.00028722740793747257,,
ню,37,0.0001350192493659569,0.0017356113241565362,,
ус,324,0.0011823307241775685,0.011497162066821763,,
рч,43,0.00015691426277665262,0.0019830410098768984,,
 ф,194,0.0007079387669458281,0.007407933414011652,,
фи,95,0.0003466710456693488,0.003984687277798894,,
ед,793,0.002893790939113617,0.024402828484346408,,
ря,301,0.0010983998394365683,0.010797688873508758,,
яю,35,0.00012772091156239165,0.0016520339258379437,,
хр,52,0.0001897567828926962,0.0023460695459555057,,
пп,11,4.014085791960881e-05,0.0005862399301325391,,
ц ,90,0.0003284252011604357,0.0038005848854518846,,
ды,150,0.0005473753352673929,0.005930911353232546,,
лг,33,0.00012042257375882643,0.00156785452674955,,
яп,14,5.108836462495667e-05,0.0007283487148547574,,
дт,56,0.00020435345849982667,0.0025046879424193763,,
вт,72,0.0002627401609283486,0.00312505134781957,,
яй,19,6.933420913386976e-05,0.0009579265036845071,,
г ,129,0.00047074278832995786,0.005203013362642795,,
вр,171,0.0006240078822048278,0.00664328034626241,,
еа,28,0.00010217672924991334,0.0013545207004596015,,
фл,23,8.393088474100023e-05,0.0011364609986686605,,
уб,194,0.0007079387669458281,0.007407933414011652,,
хв,53,0.0001934059517944788,0.002385871330009381,,
ыд,28,0.00010217672924991334,0.0013545207004596015,,
яе,22,8.028171583921761e-05,0.0010921981444258605,,
уф,20,7.298337803565239e-05,0.0010029428756785856,,
пя,106,0.0003868119035889576,0.004384930756429805,,
ея,40,0.00014596675607130477,0.0018599189952858664,,
тт,11,4.014085791960881e-05,0.0005862399301325391,,
ци,68,0.0002481434853212181,0.002971899831888969,,
сю,21,7.663254693743499e-05,0.0010476959059889826,,
рп,15,5.473753352673928e-05,0.0007749252857905688,,
дл,122,0.00044519860601747953,0.0049565133034347114,,
б ,66,0.00024084514751765285,0.002894863905981447,,
сц,28,0.00010217672924991334,0.0013545207004596015,,
гк,26,9.48783914463481e-05,0.0012679131644241011,,
лл,152,0.0005546736730709581,0.0059993910102631815,,
дк,107,0.00039046107249074023,0.004421008634366903,,
пт,46,0.00016786176948200047,0.0021050602278553207,,
йк,32,0.0001167734048570438,0.0015255278359878317,,
кн,160,0.0005838670242852191,0.006271941932573027,,
би,155,0.0005656211797763059,0.006101851284137203,,
йб,5,1.8245844508913096e-05,0.00028722740793747257,,
ют,92,0.00033572353896400094,0.00387439691674664,,
аи,76,0.00027733683653547906,0.00327703234166707,,
 щ,40,0.00014596675607130477,0.0018599189952858664,,
ур,287,0.0010473114748116117,0.010367434437997666,,
яш,9,3.284252011604357e-05,0.000489158978825577,,
ье,280,0.0010217672924991332,0.010150969529206149,,
ею,60,0.00021895013410695713,0.002661800874948361,,
рю,87,0.0003174776944550879,0.0036894264298008984,,
шу,103,0.00037586439688360975,0.004276397218592223,,
